website,website_agency,website_bureau,website_office,domain_agency_in_registry,domain_bureau_in_registry,agency_matches,bureaus_match,website_agency_name_in_registry,website_bureau_name_in_registry
hl7v2-igamt-2.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-iz-cdc-testing.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-iz-r1-5-testing.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-lab-r2-testing.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-lab-testing.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-ss-r2-testing.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2tools.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ibal.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
icsd.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ihe-pcd.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ihexds.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ilthermo.boulder.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ir.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
isg.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
its90.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
janaf.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
jarvis.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
kinetics.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
lre.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
maldi.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
manufacturing.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
materials.registry.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
math.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
mdcs.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
meis.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
mfc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
mgi.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nccoe.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ncp.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nehrp.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nehrpsearch.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nemo.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nestr.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nextg.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nigos.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nlte.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nvd.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
nvlpubs.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
openfad.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
p-act.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
pages.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
pah.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
phasedata.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
potentials.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
pv2.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
pvdata.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
randr.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
randr19.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
rdaf.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
reductus.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
rpki-monitor.antd.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
rtmms.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
sat.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
shop.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
sibr.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
sitexpress.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
smstestbed.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
srdata.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
sre.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
strbase.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
survey.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
tac.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
tcamt.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
time.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
toolcatalog.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
trc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
trec.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
trecvid.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
tsapps.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
uncertainty.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
usgv6-deploymon.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
visiblecement.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
vmsshare.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
vocab.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
webbook.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
wipp-plugins.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ws680.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
wtt-lite.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
wtt-pro.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
www-nlpir.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
zeno.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
adios.orr.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
adp.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
airquality.weather.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
alaskafisheries.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
alerts.weather.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
alerts-v2.weather.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
alpha.ngs.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
amdar.ncep.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
amdar.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
americansamoa.noaa.gov,Department of Commerce,NOAA,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
